桃園市桃園區截至112年7月底各里人口統計表,,,,,,
區域別,人口數,男人口數,女人口數,戶數,現有門牌鄰數,
文化里,1262,549,713,697,8,
文明里,1748,820,928,788,13,
武陵里,1873,852,1021,1012,12,
大林里,9177,4446,4731,3325,28,
忠義里,4290,2033,2257,1726,16,
會稽里,4600,2162,2438,1885,11,
長美里,1171,588,583,544,10,
民生里,1971,925,1046,968,14,
永興里,2087,1056,1031,988,15,
汴洲里,8706,4220,4486,3997,35,
永安里,5466,2723,2743,2169,26,
東埔里,5451,2601,2850,2161,29,
東門里,3527,1689,1838,1625,18,
東山里,2213,1096,1117,1048,19,
萬壽里,1048,517,531,443,8,
長安里,4299,2107,2192,1583,20,
中埔里,4025,1971,2054,1579,12,
西埔里,3593,1800,1793,1259,15,
西門里,2057,994,1063,966,12,
中和里,1454,716,738,658,14,
文昌里,884,455,429,376,10,
新埔里,5807,2774,3033,2285,23,
中山里,8346,3947,4399,3207,32,
慈文里,8216,3903,4313,3072,32,
西湖里,1629,782,847,656,11,
南門里,6864,3284,3580,2759,33,
南華里,1590,771,819,677,12,
玉山里,5635,2772,2863,2167,26,
中成里,7727,3801,3926,3332,20, 
中正里,9071,4307,4764,4120,30,
北門里,1948,929,1019,864,14,
雲林里,7336,3461,3875,2787,26,
福林里,7576,3656,3920,2638,30,
光興里,5513,2646,2867,2079,37,
龍山里,3956,2018,1938,1501,27,
龍岡里,6900,3297,3603,2732,27,
成功里,4659,2237,2422,1853,25,
青溪里,6229,3068,3161,2480,33,
朝陽里,2242,1108,1134,965,15,
中興里,7159,3512,3647,2735,35,
豐林里,7259,3509,3750,2855,37,
建國里,5902,2891,3011,2423,26,
大豐里,5794,2807,2987,2183,25,
福安里,5003,2349,2654,2029,28,
三民里,5236,2509,2727,2037,24,
大興里,6272,3038,3234,2684,24,
春日里,7301,3564,3737,2906,26,
信光里,8693,4212,4481,3344,30,
中寧里,8180,3829,4351,3400,25,
同安里,12969,6181,6788,5263,31,
莊敬里,10854,5120,5734,4461,24,
文中里,7151,3443,3708,3203,22,
泰山里,4227,2078,2149,1726,20,
中路里,4640,2216,2424,1926,22,
中德里,7897,3922,3975,2868,33,
龍祥里,6168,2959,3209,2434,24,
大有里,8227,3887,4340,3398,18,
寶山里,4909,2341,2568,2012,16,
"龍鳳里
(桃園區戶政事務所所在地)",11485,6037,5448,5779,33,
龍安里,6871,3318,3553,2729,22,
自強里,9022,4354,4668,3677,35,
中信里,6862,3322,3540,2804,30,
長德里,6042,2894,3148,2334,22,
中平里,5567,2692,2875,2322,27,
中原里,5536,2632,2904,2104,20,
中泰里,4964,2374,2590,1888,15,
南埔里,6682,3121,3561,2572,16,
寶慶里,7955,3722,4233,3094,20,
北埔里,5888,2777,3111,2281,17,
中聖里,6706,3056,3650,2784,20,
龍壽里,8224,3921,4303,3229,24,
同德里,7937,3810,4127,3010,19,
明德里,3878,1837,2041,1454,11,
寶安里,10128,4724,5404,3932,31,
瑞慶里,7509,3573,3936,2893,20,
三元里,4852,2362,2490,2014,17,
大樹里,4839,2346,2493,1675,21,
大業里,6322,3026,3296,2478,16,
福元里,6113,2822,3291,2371,15,
經國里,6298,2985,3313,2557,14,
檜樂里,7507,3598,3909,2962,17,
寶民里,5297,2533,2764,2104,10,
總計,468471,225284,243187,188905,1780,
